age_cat,gender,text
50_plus,F,it's all
50_plus,F,and it didn't
19_29,F,oh
19_29,M,redevelop my calluses
50_plus,M,no I haven't
19_29,F,but I don't like sleeping in them so normally I will put knickers on even if I am on my own and just got out of the shower it's only if I ain't got any clean knickers that I do that really
19_29,F,oh
19_29,F,you got what you got there wasn't a frilly menu
50_plus,M,ah no
50_plus,M,well he's been into it it's well I dunno if he's I think once you're into containers that's quite expensive isn't it?
50_plus,F,and soya milk
50_plus,M,"no I don't think so but then again I suppose I could do some walking but it's not the same as cycling <pause dur=""short"" /> you know"
19_29,F,look at me <unclear /> my folder
19_29,F,no no you cannot touch my eggs
19_29,F,yeah so is?
50_plus,M,"so <anon nameType=""m"" type=""name"" />'s not going cos he ain't he don't feel very well"
50_plus,F,you will get
19_29,F,"well <pause dur=""short"" /> do you know? I watched a programme last night"
50_plus,M,well if I were you
19_29,F,really?
50_plus,F,lovely
19_29,M,haven't got anything to go in it though
19_29,F,"oh my gosh <vocal desc=""laugh"" />"
50_plus,F,now what have we done? we've done seventeen minutes are you happy with that?
50_plus,M,"erm that's right that's right so <pause dur=""short"" /> so we just don't know that's that's an <trunc>u</trunc> that's uncertainty"
50_plus,F,and then you're you've served your sentence
19_29,M,you want to be up there worship them just worship all the time and the second one is listen erm
50_plus,F,we've had perhaps a couple of hours of slightly sunnier than all the gloom
50_plus,M,"got you <pause dur=""short"" /> yeah okay"
50_plus,M,and he denied it?
50_plus,M,it keeps you fit
19_29,M,yeah but that doesn't matter cos she still gets a present so
50_plus,M,yeah when you get grown men letting you take it
50_plus,F,all the chemotherapy is is really precautionary to
50_plus,M,you you can
50_plus,F,"erm <pause dur=""short"" /> in fact you could just play a funny game with numbers you only have <pause dur=""short"" /> two numbers <pause dur=""short"" /> at the collective <pause dur=""short"" /> <anon type=""place"" />"
19_29,F,day of death and ice-cream
50_plus,M,"well yeah <pause dur=""short"" /> well I mean to make things into games that's that's"
50_plus,M,no just looking at other shops
19_29,M,"well done so it's going quite well then yeah? <vocal desc=""laugh"" />"
50_plus,F,"and if you can and if you can turn your satnav to an Australian an Australian male instead of a instead of a British female <pause dur=""short"" /> yeah"
19_29,F,and little bunny ears like <trunc>l</trunc> flat against her face
50_plus,F,"so <pause dur=""short"" /> well it is obvious"
50_plus,F,so I'll just erm
19_29,M,"mm <pause dur=""short"" /> I'm not sure"
19_29,F,I've got a pen I've got a pen
50_plus,F,that's it
50_plus,M,oh I thought you said Godzilla
50_plus,M,holes in the old
50_plus,M,in your career you can't you can't suddenly be a big bloke who's pressed into service
