age_cat,gender,text
19_29,F,"I'm trying to think of a place you could go for for stuff like that <pause dur=""short"" /> what about erm well like H and M underwear <pause dur=""short"" /> I haven't been in there for years and years but I remember getting a corset top from there once"
19_29,F,targeting people for the colour of their skin they're seen as
19_29,M,I'm sure it was a good good deal
19_29,M,er could we have a bottle of the shiraz please
19_29,F,uhu
19_29,M,it's the Mac operating system
19_29,F,two thousand and nine I think
50_plus,F,quite popular
19_29,F,somebody made the fucking table
19_29,M,I think automatically
19_29,F,the word letters and things
19_29,F,I have to go downstairs
19_29,F,"erm well I mean it that whole self <trunc>loa</trunc> that's that's the same thing isn't it <pause dur=""short"" /> the self loathing that oh I can't do anything about it it's changed my personality <pause dur=""short"" /> bollocks"
50_plus,M,it's a loss even though they played at Twickenham <unclear />
50_plus,M,people's common experience
19_29,M,done well for himself
50_plus,F,erm and you did mention a subject that you might tell me about?
19_29,F,"bit of <anon nameType=""m"" type=""name"" />"
19_29,F,"<unclear /> <pause dur=""short"" /> model? Moodle"
50_plus,F,so you're thinking about making some in some way?
50_plus,F,bayonet?
19_29,F,and I started to write again but I didn't I didn't that was the last time I wrote and I just stopped
50_plus,F,there's a rifle
50_plus,M,really?
50_plus,M,why? are they trying to save money on video cameras or something?
19_29,F,what even on the green slope?
19_29,F,yeah you told me to do you told me to do
50_plus,F,it's still we we frequently walk that way
19_29,M,a Thursday
50_plus,F,not good for firing then
50_plus,F,diagnosis and everything
50_plus,M,"<vocal desc=""laugh"" /> we'll ask for a sample"
50_plus,F,really?
50_plus,M,yeah I thought so
19_29,F,what's with the I want to do inappropriate things to you? hello there are much better ways of saying that kind of thing but
19_29,F,I mean it hurts now
19_29,F,you've got tzatziki in your beard
50_plus,M,because I told you there's er something on the windowpane especially when it was windy over the weekend
50_plus,M,"what do you mean the whole thing is meaningless? <unclear /> to celebrate birthdays with having a meal and enjoy the concert <pause dur=""short"" /> it just means erm"
50_plus,F,if it when are you going to do it?
50_plus,M,almost Greek isn't it really?
50_plus,F,he's got that already
19_29,F,oh no play yeah we've got erm
50_plus,F,"but he leads them <pause dur=""short"" /> into <pause dur=""short"" /> chaos"
19_29,F,has considered me dead
19_29,M,oh he does look fat doesn't he there?
50_plus,F,it was a nice smell that paint
19_29,M,do you have to set it up differently for every game then?
50_plus,M,what's your evidence?
50_plus,F,since this this was new this house?
