age_cat,gender,text
50_plus,M,lovely <unclear />
19_29,F,but I don't suppose they're running around in the fields either they might be in an enclosed pen
19_29,F,mm
50_plus,M,she was golden she was a Golden Retriever wasn't she?
50_plus,F,yeah I'm glad it did go
50_plus,F,obviously it was very short on you and I was a bit shorter because I was younger
50_plus,M,yeah
50_plus,M,yeah I saw that the other night
50_plus,F,yeah
50_plus,F,<unclear />
19_29,F,they don't write instructions for somebody who will have no idea what they're talking about and it's just
50_plus,M,for a month? for a two-bedroom flat?
19_29,M,mm
19_29,F,chuck them in those pots
19_29,F,mm
50_plus,M,"<vocal desc=""laugh"" />"
50_plus,M,no no that's alright
50_plus,F,"<vocal desc=""laugh"" />"
50_plus,F,never
50_plus,F,yeah
50_plus,F,yeah
19_29,M,yeah well
19_29,F,boundary isn't it to get old and new world and all that kind of stuff
50_plus,M,fourteen and a half quid?
50_plus,F,yeah
19_29,F,no well after <trunc>s</trunc>
50_plus,F,I mean and we are actually getting worse
50_plus,M,oh yeah?
19_29,F,cos erm you know they're being made into an academy?
50_plus,F,oh yeah
50_plus,F,they probably try and make it a bit more difficult and more varied each time
50_plus,F,what a tragic life
50_plus,F,who is he go have a look didn't she say she charged about ten pound to put that
50_plus,F,<unclear /> fish
19_29,M,yes she <trunc>k</trunc> yeah she's
19_29,F,mm
50_plus,F,"yep I didn't really know <anon nameType=""m"" type=""name"" /> but I <unclear />"
19_29,F,but also the amount of money they're gonna make in the future
19_29,F,uhu
19_29,F,mm
50_plus,F,yeah
19_29,F,mm
19_29,F,A retrospective exhibition
50_plus,M,"no it's <anon nameType=""f"" type=""name"" /> you're not paying attention are you?"
50_plus,F,yeah
50_plus,F,<unclear /> and a hundred pounds
50_plus,M,yeah they do
50_plus,F,yeah
50_plus,M,"yeah <pause dur=""short"" /> <vocal desc=""laugh"" />"
50_plus,M,"<vocal desc=""laugh"" />"
