19-29 n-gram,19-29 coef.,50-plus n-gram,50-plus coef.
um,-3.739327385519789,chinese,2.359216647763282
cool,-2.9611282592120713,ordinary,2.2873667751059017
shit,-2.634503564750447,wonderful,2.2283882194239077
hmm,-2.546602370565604,tend,2.0654675835499785
uni,-2.4698695397665245,yes,2.0350345737147477
cute,-2.4224529823056065,photographs,1.997807835094139
tut,-2.283979365191745,hospice,1.9539293631138752
massive,-2.1718647705252567,areas,1.948069671540506
awesome,-2.124146675797937,father,1.944662782953989
lol,-2.034129663942872,operation,1.8921929497502874
bitch,-2.021322532191947,vegetables,1.779561245507026
gym,-1.9323452404962655,pension,1.7736104726501245
pizza,-1.871195796769884,chap,1.7595705344147188
like,-1.8301294756713964,shed,1.7546805802123708
grand,-1.8114275374732354,anyhow,1.715203285345299
excited,-1.7627163511670108,hospices,1.6917129154949573
fuck,-1.7409284255305717,born,1.6887430733108757
middlesbrough,-1.7156298377313015,church,1.6800413337683509
yawn,-1.6917233593018985,hanging,1.6690767209905624
annoying,-1.6895671136491557,container,1.6624245965263909
cigarette,-1.6833199887038974,surgery,1.6617803376125195
guess,-1.670401946064584,vegetarian,1.648984871529342
jesus,-1.6694417890071036,building,1.6333394666105039
oo,-1.6670818277984876,emperor,1.617473474010803
wanna,-1.6605257087814103,lipsy,1.5913245402308516
definitely,-1.6407375126861312,tank,1.5804349835825775
quicker,-1.6114388716187575,bath,1.5700438743490894
korea,-1.6011766404525325,council,1.5683625213387706
facebook,-1.5741675367733063,extraordinary,1.5527800310616333
piss,-1.547412122317528,several,1.5452163159369716
miss,-1.5456096163930066,cheers,1.5380122566782408
specifically,-1.5419561474116015,hall,1.5364893294108202
ooh,-1.540459151025644,glasses,1.536107958053722
mhm,-1.5303516346004853,scabies,1.5160509610200028
cd,-1.5261417851555235,sandwiches,1.5114017382879243
love,-1.5228994219612273,junk,1.5073081615162898
cousin,-1.5130220502969542,mother,1.5060614049617544
blanket,-1.5068291900250796,lawn,1.502513122230616
fucking,-1.5065198446464378,pain,1.4997898340364908
scared,-1.501719479044924,flu,1.4990931348490322
mental,-1.4798857265588672,paint,1.4962173317841831
fairness,-1.4780427027011065,email,1.4895759926420216
mountain,-1.4668521909278658,biscuit,1.4797940506872906
bum,-1.4615782894064457,right,1.4779576737917186
roundabout,-1.4523379852277414,schools,1.4746471281658822
hate,-1.4463550189565895,produce,1.4670460178219835
photo,-1.4400349901338219,enormous,1.459520227268562
nope,-1.4399133863264404,garden,1.458185294239902
plural,-1.4382991756189052,engineering,1.458092740941411
boyfriend,-1.4377809200630858,jam,1.4508354606691054
garlic,-1.433749360276242,report,1.4497900341053302
pregnant,-1.4292721145883378,rackets,1.447480557576853
ridiculous,-1.425881729268484,nineteen,1.4426028823947437
cycle,-1.4174556348922742,americano,1.4394160067661481
genuinely,-1.3933769021903823,ebola,1.435915027354482
mate,-1.3880447100802211,furniture,1.428495361312096
hilarious,-1.3872629689218683,plants,1.4278260878496998
mates,-1.3807931805299811,poodle,1.4278087282002259
sunderland,-1.3742341229856874,guttering,1.4264584644319327
cheaper,-1.3730856643786047,claim,1.4228010389492445
yay,-1.364075171960136,concrete,1.413994491772771
coke,-1.360471523961094,mousse,1.4066194924209638
basically,-1.357723983457672,asbestos,1.4021274781065602
hummus,-1.3550371353751443,ddt,1.399955205859453
frig,-1.3465270861770113,apple,1.3995608001770967
blah,-1.3416240316294654,occasional,1.3963936335493934
gig,-1.3347700932321027,roast,1.3944777839015858
drunk,-1.3250574519575598,ought,1.3935473436669092
poke,-1.320035849770026,trombone,1.3926337871963754
skinny,-1.3184954574442422,xylophone,1.389104273391621
invite,-1.3113581986493228,misty,1.3880006895617452
balance,-1.304150722833871,horses,1.374124393948694
tempted,-1.3017562112137346,fungi,1.3726791530460636
fridge,-1.2996425405114096,design,1.3700459709840087
jokes,-1.2980379810765825,diabetes,1.3680603808978418
added,-1.2964249876863145,marmalade,1.3650240833687497
cry,-1.2937232190287344,supper,1.361509917556112
burger,-1.2926014400864614,painting,1.3586428952666052
uzbekistan,-1.2919158960967159,workshop,1.357097919512218
asian,-1.2911479579425116,lord,1.3568154167940467
nickname,-1.2887950485101856,potatoes,1.3495556267306377
website,-1.2861793521417226,photograph,1.3462667841154714
rock,-1.286099228947696,coach,1.3450000074406663
honestly,-1.277566369988787,luck,1.3441451342413873
hint,-1.2720964882705792,sensible,1.3409203483833882
crap,-1.270018547372576,rabbits,1.33606441248964
literally,-1.2696197899935229,arab,1.334556050632434
james,-1.2687711760593892,recall,1.3333832932945853
nev,-1.2655417988192632,tomatoes,1.3329640545733719
profile,-1.2640739843487299,yellow,1.3266823056570993
smaller,-1.2604784917337624,architect,1.323213740527247
shitty,-1.2597680334643695,racket,1.3138257761780827
chef,-1.259287487839695,spencer,1.3136824320287475
anymore,-1.2586750225679268,emails,1.3115278932477925
starving,-1.2516332232604508,sewing,1.3108175344535722
random,-1.2486993480975879,vicar,1.3080918135501691
publishing,-1.2445949461679189,heavens,1.296064906345164
mar,-1.2380790526817727,boiler,1.2937135155176844
uncle,-1.2372297306538396,pollution,1.2926828328847901
randomly,-1.2341068043486603,churches,1.287825132891843
