speaker_id,gender,topics,conv_id,turn,text,length,label,clean_text,age_cat,clean_length
S0282,F,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,1,"anyway <pause dur=""short"" /> so we were talking about erm Fatal Attraction before <pause dur=""short"" /> and erm",12,50_plus,anyway pause dur short talking erm fatal attraction pause dur short erm,50-plus,12
S0284,M,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,2,"yes <pause dur=""short"" /> yes so",3,50_plus,yes pause dur short yes,50-plus,5
S0282,F,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,3,"so I hadn't <pause dur=""short"" /> I hadn't heard of <unclear /> but I've heard of Naomi",16,50_plus,pause dur short heard unclear heard naomi,50-plus,7
S0284,M,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,4,"er only only if <pause dur=""short"" /> no if you look it up on the internet",13,50_plus,er pause dur short look internet,50-plus,6
S0282,F,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,5,mm,1,50_plus,mm,50-plus,1
S0284,M,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,6,"and <pause dur=""short"" /> <trunc>e</trunc> you'll find that she was <pause dur=""short"" /> <trunc>o</trunc> er she played <unclear /> in a BBC television drama about the shooting of John",21,50_plus,pause dur short trunc e trunc find pause dur short trunc trunc er played unclear bbc television drama shooting john,50-plus,20
S0282,F,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,7,oh right,2,50_plus,oh right,50-plus,2
S0284,M,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,8,<trunc>sh</trunc> what was his name?,5,50_plus,trunc sh trunc name,50-plus,4
S0282,F,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,9,John John,2,50_plus,john john,50-plus,2
S0284,M,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,10,John Paul John <unclear />,4,50_plus,john paul john unclear,50-plus,4
S0282,F,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,11,yes yes,2,50_plus,yes yes,50-plus,2
S0284,M,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,12,"erm <pause dur=""short"" /> which actually is a pretty pretty key role because she was the",13,50_plus,erm pause dur short actually pretty pretty key role,50-plus,9
S0282,F,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,13,yes,1,50_plus,yes,50-plus,1
S0284,M,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,14,officer in charge and the controller from outside,8,50_plus,officer charge controller outside,50-plus,4
S0282,F,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,15,yes,1,50_plus,yes,50-plus,1
S0284,M,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,16,"er and <pause dur=""short"" /> she's done Shakespeare work with Trevor Nunn erm in America",13,50_plus,er pause dur short done shakespeare work trevor nunn erm america,50-plus,11
S0282,F,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,17,mm,1,50_plus,mm,50-plus,1
S0284,M,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,18,"er <pause dur=""long"" /> so <pause dur=""short"" /> so erm so she's not a household name",11,50_plus,er pause dur long pause dur short erm household name,50-plus,10
S0284,M,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,20,and she's she's something as <trunc>y</trunc>you know done done some significant work,14,50_plus,something trunc trunc know done done significant work,50-plus,8
S0282,F,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,21,mm,1,50_plus,mm,50-plus,1
S0284,M,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,22,"er that <pause dur=""short"" /> just pops out from time to time and this was a Trevor Nunn <pause dur=""short"" /> production so I think he turned her her age and er when he was thinking of it",32,50_plus,er pause dur short pops time time trevor nunn pause dur short production think turned age er thinking,50-plus,18
S0282,F,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,23,mm,1,50_plus,mm,50-plus,1
S0284,M,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,24,"and that's how she became <pause dur=""short"" /> <unclear />",7,50_plus,became pause dur short unclear,50-plus,5
S0282,F,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,25,okay so who and who's playing er Madame <unclear>Demers</unclear>?,10,50_plus,okay playing er madame unclear demers unclear,50-plus,7
S0284,M,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,26,er,1,50_plus,er,50-plus,1
S0282,F,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,27,the main actress?,4,50_plus,main actress,50-plus,2
S0284,M,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,28,"now <trunc>y</trunc> now <trunc>y</trunc> now you've you've got erm <trunc>wh</trunc> I can't remember her name <pause dur=""short"" /> I can't remember her name erm <pause dur=""short"" /> er and and the wife had a much more prominent role",33,50_plus,trunc trunc trunc trunc got erm trunc wh trunc remember name pause dur short remember name erm pause dur short er wife much prominent role,50-plus,25
