speaker_id,gender,topics,conv_id,turn,text,length,label,clean_text,age_cat,clean_length
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,1,you haven't got the pause button on again have you?,12,50_plus,got pause button,50-plus,3
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,2,I think that's alright we'll see that's er,11,50_plus,think alright see er,50-plus,4
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,3,erm,1,50_plus,erm,50-plus,1
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,4,cheers to your good health,5,50_plus,cheers good health,50-plus,3
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,5,yes cheers <unclear>all of us mate</unclear> yes erm,4,50_plus,yes cheers unclear us mate unclear yes erm,50-plus,8
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,6,"<vocal desc=""misc"" />",0,50_plus,vocal desc misc,50-plus,3
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,7,"when is the <pause dur=""short"" /> champions League final? that's Barcelona and er",12,50_plus,pause dur short champions league final barcelona er,50-plus,8
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,8,against Juventus,2,50_plus,juventus,50-plus,1
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,9,Juve yeah,2,50_plus,juve yeah,50-plus,2
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,10,ah it the FA Cup is on Saturday,8,50_plus,ah fa cup saturday,50-plus,4
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,11,right,1,50_plus,right,50-plus,1
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,12,I think it's on Sunday,6,50_plus,think sunday,50-plus,2
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,13,okay,1,50_plus,okay,50-plus,1
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,15,right,1,50_plus,right,50-plus,1
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,16,tonight it another not quite so interesting but fairly interesting final which is Sevilla Sevilla,15,50_plus,tonight another quite interesting fairly interesting final sevilla sevilla,50-plus,9
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,17,yes,1,50_plus,yes,50-plus,1
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,18,against Dnipro,2,50_plus,dnipro,50-plus,1
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,19,oh yes that's the er Europa Cup,8,50_plus,oh yes er europa cup,50-plus,5
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,20,yeah,1,50_plus,yeah,50-plus,1
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,21,"isn't it and the winner gets a <pause dur=""short"" /> preliminary",9,50_plus,winner gets pause dur short preliminary,50-plus,6
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,22,shot into,2,50_plus,shot,50-plus,1
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,23,in the championship,3,50_plus,championship,50-plus,1
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,24,yeah yeah,2,50_plus,yeah yeah,50-plus,2
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,25,yes well that's a good idea,7,50_plus,yes well good idea,50-plus,4
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,26,that might be worth watching they're good Sevilla,9,50_plus,might worth watching good sevilla,50-plus,5
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,27,mm I felt a little bit sorry for Hull,9,50_plus,mm felt little bit sorry hull,50-plus,6
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,28,"<vocal desc=""laugh"" />",0,50_plus,vocal desc laugh,50-plus,3
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,29,"at the weekend it was <pause dur=""short"" /> you know they draw nil nil",11,50_plus,weekend pause dur short know draw nil nil,50-plus,8
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,30,yes yes that's right,5,50_plus,yes yes right,50-plus,3
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,31,and what doomed them losing to Birmingham,7,50_plus,doomed losing birmingham,50-plus,3
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,32,that's right,3,50_plus,right,50-plus,1
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,33,wasn't it? er a week,7,50_plus,er week,50-plus,2
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,34,that's right,3,50_plus,right,50-plus,1
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,36,that's right that's right that's right,9,50_plus,right right right,50-plus,3
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,37,mm mm,2,50_plus,mm mm,50-plus,2
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,38,I mean some clubs you've you do feel charitable towards to sympathetic towards to,15,50_plus,mean clubs feel charitable towards sympathetic towards,50-plus,7
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,39,yes yeah,2,50_plus,yes yeah,50-plus,2
